Id,Code,Name,Version
298,tt0110361,Lisbon Story,1
299,tt0058461,Per un pugno di dollari,1
300,tt0241303,Chocolat,1
301,tt0378194,Kill Bill: Vol. 2,1
302,tt0370263,AVP: Alien vs. Predator,1
303,tt0061184,Who's Afraid of Virginia Woolf?,1
304,tt0113117,French Kiss,1
305,tt0379725,Capote,1
306,tt0114660,Things to Do in Denver When You're Dead,1
307,tt0333766,Garden State,1
308,tt0103772,Basic Instinct,1
309,tt0097239,Driving Miss Daisy,1
310,tt0166896,The Straight Story,1
311,tt0047528,La strada,1
312,tt0113247,La Haine,1
313,tt0162426,Kurz und schmerzlos,1
314,tt0029583,Snow White and the Seven Dwarfs,1
315,tt0116209,The English Patient,1
316,tt0477877,Sommer vorm Balkon,1
317,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1
318,tt0112462,Batman Forever,1
319,tt0118688,Batman & Robin,1
320,tt0362270,The Life Aquatic with Steve Zissou,1
321,tt0056801,8½,1
322,tt0253474,The Pianist,1
323,tt0108052,Schindler's List,1
324,tt0268380,Ice Age,1
325,tt0052357,Vertigo,1
326,tt0050706,Mon oncle,1
327,tt0806679,Sommer '04,1
328,tt0060196,"Il buono, il brutto, il cattivo",1
329,tt0055256,"One, Two, Three",1
330,tt0123755,Cube,1
331,tt0058331,Mary Poppins,1
332,tt0475317,Knallhart,1
333,tt0319262,The Day After Tomorrow,1
334,tt0390221,"María, llena eres de gracia",1
335,tt0285492,Cube 2: Hypercube,1
336,tt0377713,Cube Zero,1
337,tt0053779,La dolce vita,1
338,tt0758730,Aliens vs Predator: Requiem,1
339,tt0219822,Human Nature,1
340,tt0314524,Populärmusik från Vittula,1
341,tt0387898,Caché,1
342,tt0113627,Leaving Las Vegas,1
343,tt0154421,Idioterne,1
344,tt0268978,A Beautiful Mind,1
345,tt0117509,Romeo + Juliet,1
346,tt0286499,Bend It Like Beckham,1
347,tt0048624,Sissi,1
348,tt0049762,Sissi - Die junge Kaiserin,1
349,tt0050974,Sissi - Schicksalsjahre einer Kaiserin,1
350,tt0416331,Alles auf Zucker!,1
351,tt0195685,Erin Brockovich,1
352,tt0382330,Så som i himmelen,1
353,tt0094596,36 Fillette,1
354,tt0067309,Klute,1
355,tt0242527,The Hole,1
356,tt0102494,My Own Private Idaho,1
357,tt0088184,Stranger Than Paradise,1
358,tt0315733,21 Grams,1
359,tt0129774,Bandyta,1
360,tt0138704,Pi,1
361,tt0061418,Bonnie and Clyde,1
362,tt0097240,Drugstore Cowboy,1
363,tt0162650,Shaft,1
364,tt0265343,Monsoon Wedding,1
365,tt0461894,7 vírgenes,1
366,tt0067741,Shaft,1
367,tt0100935,Wild at Heart,1
368,tt0043265,The African Queen,1
369,tt0119217,Good Will Hunting,1
370,tt0050976,Det sjunde inseglet,1
371,tt0120601,Being John Malkovich,1
372,tt0069257,Shaft's Big Score!,1
373,tt0070679,Shaft in Africa,1
374,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1
375,tt0120689,The Green Mile,1
376,tt0055852,Cléo de cinq à sept,1
377,tt0105236,Reservoir Dogs,1
378,tt0427312,Grizzly Man,1
379,tt0058083,Fail-Safe,1
380,tt0409182,Poseidon,1
381,tt0340855,Monster,1
382,tt0097626,Johnny Handsome,1
383,tt0058329,Marnie,1
384,tt0110265,Killing Zoe,1
385,tt0314331,Love Actually,1
386,tt0125439,Notting Hill,1
387,tt0073486,One Flew Over the Cuckoo's Nest,1
388,tt0072446,Ziemia obiecana,1
389,tt0457513,Scoop,1
390,tt0116308,Fire,1
391,tt0046912,Dial M for Murder,1
392,tt0109707,Ed Wood,1
393,tt0454931,Requiem,1
394,tt0112641,Casino,1
395,tt0080455,The Blues Brothers,1
396,tt0089457,Ladyhawke,1
397,tt0110729,Once Were Warriors,1
398,tt0104361,A Grand Day Out,1
399,tt0108598,The Wrong Trousers,1
400,tt0112691,A Close Shave,1
401,tt0312004,The Curse of the Were-Rabbit,1
402,tt0438488,Terminator Salvation,1
403,tt0085549,Flashdance,1
404,tt0436445,Je ne suis pas là pour être aimé,1
405,tt0054215,Psycho,1
406,tt0367631,D.E.B.S.,1
407,tt0048347,The Man with the Golden Arm,1
408,tt0313196,El Crimen del Padre Amaro,1
409,tt0019702,Blackmail,1
410,tt0129387,There's Something About Mary,1
411,tt0407265,Transamerica,1
412,tt0119314,The Horse Whisperer,1
413,tt0042876,羅生門,1
414,tt0115632,Basquiat,1
415,tt0137523,Fight Club,1
416,tt0069113,The Poseidon Adventure,1
417,tt0237539,Pane e Tulipani,1
418,tt0276919,Dogville,1
419,tt0308476,Kukushka,1
420,tt0145487,Spider-Man,1
421,tt0316654,Spider-Man 2,1
422,tt0413300,Spider-Man 3,1
423,tt0040766,Secret Beyond the Door,1
424,tt0360486,Constantine,1
425,tt0095016,Die Hard,1
426,tt0120201,Starship Troopers,1
427,tt0120616,The Mummy,1
428,tt0298130,The Ring,1
429,tt0047396,Rear Window,1
430,tt0112384,Apollo 13,1
431,tt0243255,À ma sœur!,1
432,tt0056869,The Birds,1
433,tt0453383,Naboer,1
434,tt0068611,Frenzy,1
435,tt0049470,The Man Who Knew Too Much,1
436,tt0250258,Das Experiment,1
437,tt0065214,The Wild Bunch,1
438,tt0114681,To Die For,1
439,tt0073195,Jaws,1
440,tt0077766,Jaws 2,1
441,tt0093300,Jaws: The Revenge,1
442,tt0099348,Dances with Wolves,1
443,tt0405094,Das Leben der Anderen,1
444,tt0079470,Life of Brian,1
445,tt0322259,2 Fast 2 Furious,1
446,tt0198781,"Monsters, Inc.",1
447,tt0120885,Wag the Dog,1
448,tt0319061,Big Fish,1
449,tt0384537,Silent Hill,1
450,tt0274558,The Hours,1
451,tt0382625,The Da Vinci Code,1
452,tt0071360,The Conversation,1
453,tt0069293,Солярис,1
454,tt0362227,The Terminal,1
455,tt0056592,To Kill a Mockingbird,1
456,tt0032551,The Grapes of Wrath,1
457,tt0120338,Titanic,1
458,tt0317248,Cidade de Deus,1
459,tt0043014,Sunset Boulevard,1
460,tt0093058,Full Metal Jacket,1
461,tt0083866,E.T. the Extra-Terrestrial,1
462,tt0116629,Independence Day,1
463,tt0133093,The Matrix,1
464,tt0234215,The Matrix Reloaded,1
465,tt0242653,The Matrix Revolutions,1
466,tt0089755,Out of Africa,1
467,tt0119654,Men in Black,1
468,tt0120912,Men in Black II,1
469,tt0084516,Poltergeist,1
470,tt0408306,Munich,1
471,tt0363163,Der Untergang,1
472,tt0050986,Smultronstället,1
473,tt0335345,The Passion of the Christ,1
474,tt0325710,The Last Samurai,1
475,tt0120890,Wild Things,1
476,tt0004972,The Birth of a Nation,1
477,tt0103855,The Bodyguard,1
478,tt0087332,Ghostbusters,1
479,tt0077631,Grease,1
480,tt0142688,The Ninth Gate,1
481,tt0095159,A Fish Called Wanda,1
482,tt0064276,Easy Rider,1
483,tt0087553,The Killing Fields,1
484,tt0020530,Un chien andalou,1
485,tt0117951,Trainspotting,1
486,tt0110148,Interview with the Vampire,1
487,tt0114814,The Usual Suspects,1
488,tt0032138,The Wizard of Oz,1
489,tt0018455,Sunrise: A Song of Two Humans,1
490,tt0046359,Stalag 17,1
491,tt0076734,Soldaat van Oranje,1
492,tt0243155,Bridget Jones's Diary,1
493,tt0092563,Angel Heart,1
494,tt0066434,THX 1138,1
495,tt0118799,La vita è bella,1
496,tt0116922,Lost Highway,1
497,tt0098635,When Harry Met Sally...,1
498,tt0264464,Catch Me If You Can,1
499,tt0180093,Requiem for a Dream,1
500,tt0064115,Butch Cassidy and the Sundance Kid,1
501,tt0015648,Броненосец «Потёмкин»,1
502,tt0212720,A.I. Artificial Intelligence,1
503,tt0055928,Dr. No,1
504,tt0385700,Final Fantasy VII: Advent Children,1
505,tt0038348,La belle et la bête,1
506,tt0061395,Belle de jour,1
507,tt0101507,Boyz n the Hood,1
508,tt0066026,M*A*S*H,1
509,tt0332452,Troy,1
510,tt0013442,"Nosferatu, eine Symphonie des Grauens",1
511,tt0047296,On the Waterfront,1
512,tt0087884,"Paris, Texas",1
513,tt0057076,From Russia with Love,1
514,tt0058150,Goldfinger,1
515,tt0078875,Die Blechtrommel,1
516,tt0059800,Thunderball,1
517,tt0079095,Die Ehe der Maria Braun,1
